"date"	"landscape"	"meta"	"type"	"sample"	"x.value"	"y.value"	"habitat"	"habitat.bi"	"age"	"volume"	"euplotes"	"paramecium"	"blepharisma"	"colpidium"	"rotifer"	"vorticella"	"chilomonas"	"counter"	"eu_density"	"para_density"	"bleph_density"	"colp_density"	"rot_density"	"vort_density"	"chilo_density"
"1"	"4/20/15"	1	1	"E"	1	1	6	"C"	0	11	1	0	0	0	0	16	152	0	"EJR"	0	0	0	0	16	152	0
"2"	"4/20/15"	1	1	"E"	2	1	5	"C"	0	11	1	0	26	0	0	26	94	0	"EJR"	0	26	0	0	26	94	0
"3"	"4/20/15"	1	1	"E"	3	1	4	"D"	1	4	1	92	368	68	1276	0	10	100	"EJR"	92	368	68	1276	0	10	100
"4"	"4/20/15"	1	1	"E"	4	1	3	"D"	1	1	1	2	8	14	834	2	21	10000	"EJR"	2	8	14	834	2	21	10000
"5"	"4/20/15"	1	1	"E"	5	1	2	"D"	1	11	1	2	2	184	0	28	4	0	"EJR"	2	2	184	0	28	4	0
"6"	"4/20/15"	1	1	"E"	6	1	1	"D"	1	7	1	2	0	284	4	2	16	0	"EJR"	2	0	284	4	2	16	0
"7"	"4/20/15"	1	1	"E"	7	2	6	"D"	1	1	1	2	0	2	1020	0	46	0	"EJR"	2	0	2	1020	0	46	0
"8"	"4/20/15"	1	1	"E"	8	2	5	"D"	1	5	1	74	556	6	1590	16	8	10	"EJR"	74	556	6	1590	16	8	10
"9"	"4/20/15"	1	1	"E"	9	2	4	"D"	1	4	1	114	1100	86	900	0	6	1000	"EJR"	114	1100	86	900	0	6	1000
"10"	"4/20/15"	1	1	"E"	10	2	3	"D"	1	7	1	2	0	172	16	32	6	0	"EJR"	2	0	172	16	32	6	0
"11"	"4/20/15"	1	1	"E"	11	2	2	"C"	0	11	1	0	6	0	0	78	46	0	"EJR"	0	6	0	0	78	46	0
"12"	"4/20/15"	1	1	"E"	12	2	1	"D"	1	10	1	8	10	0	424	36	6	0	"EJR"	8	10	0	424	36	6	0
"13"	"4/20/15"	1	1	"E"	13	3	6	"C"	0	2	1	0	0	0	0	0	260	0	"EJR"	0	0	0	0	0	260	0
"14"	"4/20/15"	1	1	"E"	14	3	5	"D"	1	1	1	0	0	0	330	2	12	10000	"EJR"	0	0	0	330	2	12	10000
"15"	"4/20/15"	1	1	"E"	15	3	4	"C"	0	3	1	0	0	0	0	0	156	0	"EJR"	0	0	0	0	0	156	0
"16"	"4/20/15"	1	1	"E"	16	3	3	"D"	1	11	1	0	2	270	2	48	4	100	"EJR"	0	2	270	2	48	4	100
"17"	"4/20/15"	1	1	"E"	17	3	2	"D"	1	8	1	6	0	188	0	2	12	0	"EJR"	6	0	188	0	2	12	0
"18"	"4/20/15"	1	1	"E"	18	3	1	"D"	1	2	1	0	0	9	0	0	4	0	"EJR"	0	0	9	0	0	4	0
"19"	"4/20/15"	1	1	"E"	19	4	6	"D"	1	3	1	0	420	254	2	0	20	100	"sec"	0	420	254	2	0	20	100
"20"	"4/20/15"	1	1	"E"	20	4	5	"C"	0	1	1.5	0	7	4	0	0	2	0	"EJR"	0	4.66666666666667	2.66666666666667	0	0	1.33333333333333	0
"21"	"4/20/15"	1	1	"E"	21	4	4	"D"	1	2	1	0	244	84	26	0	18	10000	"sec"	0	244	84	26	0	18	10000
"22"	"4/20/15"	1	1	"E"	22	4	3	"D"	1	3	1	0	570	42	54	6	6	10000	"sec"	0	570	42	54	6	6	10000
"23"	"4/20/15"	1	1	"E"	23	4	2	"C"	0	6	1	0	54	0	0	0	14	0	"EJR"	0	54	0	0	0	14	0
"24"	"4/20/15"	1	1	"E"	24	4	1	"D"	1	1	1	0	10	0	2	0	164	10000	"sec"	0	10	0	2	0	164	10000
"25"	"4/20/15"	1	1	"E"	25	5	6	"C"	0	1	3	0	1	2	0	0	20	0	"EJR"	0	0.333333333333333	0.666666666666667	0	0	6.66666666666667	0
"26"	"4/20/15"	1	1	"E"	26	5	5	"C"	0	7	1	12	0	0	0	4	110	0	"EJR"	12	0	0	0	4	110	0
"27"	"4/20/15"	1	1	"E"	27	5	4	"D"	1	3	1	0	280	0	0	6	24	1000	"sec"	0	280	0	0	6	24	1000
"28"	"4/20/15"	1	1	"E"	28	5	3	"C"	0	2	1	0	72	0	0	0	110	0	"EJR"	0	72	0	0	0	110	0
"29"	"4/20/15"	1	1	"E"	29	5	2	"D"	1	2	1	0	68	0	1480	12	14	100	"sec"	0	68	0	1480	12	14	100
"30"	"4/20/15"	1	1	"E"	30	5	1	"D"	1	4	1	0	266	0	1070	0	10	10000	"sec"	0	266	0	1070	0	10	10000
"31"	"4/20/15"	1	1	"E"	31	6	6	"C"	0	5	1	0	204	40	0	0	24	0	"EJR"	0	204	40	0	0	24	0
"32"	"4/20/15"	1	1	"E"	32	6	5	"D"	1	9	1	6	0	120	0	0	4	10	"sec"	6	0	120	0	0	4	10
"33"	"4/20/15"	1	1	"E"	33	6	4	"D"	1	2	1	36	58	62	890	0	4	1000	"sec"	36	58	62	890	0	4	1000
"34"	"4/20/15"	1	1	"E"	34	6	3	"D"	1	6	1	2	2	104	246	0	0	100	"sec"	2	2	104	246	0	0	100
